Archivo: DN419NG.jpg, Reconocido: IIQ64, Estado: FALLO SEGMENTACION
Archivo: AFZ8924.png, Reconocido: AFZB324, Estado: FALLO NN
Archivo: HKH2245.png, Reconocido: HKHZZ45, Estado: FALLO NN
Archivo: 4969ZD56.png, Reconocido: T43E5ZD5E, Estado: FALLO SEGMENTACION
Archivo: BA884XN.jpg, Reconocido: BAB, Estado: FALLO SEGMENTACION
Archivo: BT254HA.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EC377VM.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FS827VN.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SG1579.png, Reconocido: LSG1575G, Estado: FALLO SEGMENTACION
Archivo: HROD819.JPG, Reconocido: HR0D819, Estado: FALLO NN
Archivo: PEM2363.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 5951FPF.png, Reconocido: 535FPF, Estado: FALLO SEGMENTACION
Archivo: SMC9348.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: ANK7444.png, Reconocido: ANK7444, Estado: OK
Archivo: DP92OCN.png, Reconocido: DP920CN, Estado: FALLO NN
Archivo: 6402VH25.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DD178TV.jpg, Reconocido: V, Estado: FALLO SEGMENTACION
Archivo: NDNH12.png, Reconocido: NDNH12, Estado: OK
Archivo: 45XM6.png, Reconocido: 45XM6, Estado: OK
Archivo: FC337JE.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SGE6783.png, Reconocido: SGEE783, Estado: FALLO NN
Archivo: ZDT923.png, Reconocido: YZ21923, Estado: FALLO SEGMENTACION
Archivo: SHB6665.png, Reconocido: SB5655, Estado: FALLO SEGMENTACION
Archivo: VJ8593.png, Reconocido: VJ8593, Estado: OK
Archivo: QCE908.png, Reconocido: 0CE908, Estado: FALLO NN
Archivo: FQ032EC.jpg, Reconocido: FQ032EC, Estado: OK
Archivo: CR214ZQ.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B201TXM.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: N1966.png, Reconocido: N1966, Estado: OK
Archivo: CS229EP.jpg, Reconocido: C, Estado: FALLO SEGMENTACION
Archivo: BRL702.png, Reconocido: BRL70Z, Estado: FALLO NN
Archivo: ESS1535.png, Reconocido: ESS1535, Estado: OK
Archivo: 2348XR25.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: GO6600H.png, Reconocido: G066UUH, Estado: FALLO NN
Archivo: CM101LW.png, Reconocido: Y, Estado: FALLO SEGMENTACION
Archivo: ESCC690.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: LL2134.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FS028DP.jpg, Reconocido: IFS0ZBDPB, Estado: FALLO SEGMENTACION
Archivo: CN498JC.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MA877AA.png, Reconocido: MA87AA, Estado: FALLO SEGMENTACION
Archivo: BMJ9855.png, Reconocido: BMJ9855, Estado: OK
Archivo: ZZ7099.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EYA4798_1.png, Reconocido: ETA4798, Estado: FALLO SEGMENTACION
Archivo: VD5886Z.png, Reconocido: VZ, Estado: FALLO SEGMENTACION
Archivo: DKL5E12.png, Reconocido: DKL5E12, Estado: OK
Archivo: DQ040VP.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: G0CIAPA.png, Reconocido: G0CAPA, Estado: FALLO SEGMENTACION
Archivo: AV812LT.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: HHRD41.JPG, Reconocido: HHRD41, Estado: OK
Archivo: 5658YA22.jpg, Reconocido: 5658Y4ZZ, Estado: FALLO NN
Archivo: 04WH3753.png, Reconocido: 04YH3753, Estado: FALLO NN
Archivo: BW716WH.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AT688KL.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: GAJ169.JPG, Reconocido: 5AJ169, Estado: FALLO NN
Archivo: CJ447RV.jpg, Reconocido: 3CJ447RV1, Estado: FALLO SEGMENTACION
Archivo: B111TXS.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 4980BM.png, Reconocido: 38O, Estado: FALLO SEGMENTACION
Archivo: C04279Y.png, Reconocido: XLDK279Y, Estado: FALLO SEGMENTACION
Archivo: FR697HF.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: GS049NP.png, Reconocido: ES048NP, Estado: FALLO NN
Archivo: ER401KA.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 3233YG30_1.png, Reconocido: 3233YG3D, Estado: FALLO SEGMENTACION
Archivo: AP819FK.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: LBQB61.png, Reconocido: 61, Estado: FALLO SEGMENTACION
Archivo: 8427XX29.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: G8772B.png, Reconocido: GB772B, Estado: FALLO NN
Archivo: SEJ2011.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CA213ZN.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MUO003.png, Reconocido: N003, Estado: FALLO SEGMENTACION
Archivo: CQ378MH.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 5122WQ06.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SMB2078.JPG, Reconocido: SMB2078, Estado: OK
Archivo: AH004FEZ.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SAP4686.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FP494ML.jpg, Reconocido: P9M, Estado: FALLO SEGMENTACION
Archivo: SRG4104.png, Reconocido: 44Q, Estado: FALLO SEGMENTACION
Archivo: SJJ1621.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CV594AF.png, Reconocido: CV59LAF, Estado: FALLO NN
Archivo: DANKE82.png, Reconocido: DANKEBZ, Estado: FALLO NN
Archivo: CY381NR_1.png, Reconocido: CY581NR, Estado: FALLO SEGMENTACION
Archivo: AA821PT.png, Reconocido: AA821PT, Estado: OK
Archivo: AI20291_1.png, Reconocido: QRI202P1T, Estado: FALLO NN
Archivo: VN05SAK.png, Reconocido: VN05SAK, Estado: OK
Archivo: TG80229.png, Reconocido: Q15BO2294, Estado: FALLO SEGMENTACION
Archivo: HDNE8880.png, Reconocido: HDNE8880, Estado: OK
Archivo: BP897ER.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: JEE09.png, Reconocido: JEE09E, Estado: FALLO SEGMENTACION
Archivo: FF486XA.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FCK469.png, Reconocido: FCK469, Estado: OK
Archivo: CG988FL.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BA006NR.png, Reconocido: BAOOG, Estado: FALLO SEGMENTACION
Archivo: W0T560.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BL33635.png, Reconocido: BL33635, Estado: OK
Archivo: B69SXV.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MS5683V.png, Reconocido: MS568, Estado: FALLO SEGMENTACION
Archivo: DH058PS.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: VA6811T.png, Reconocido: EVA6811T, Estado: FALLO SEGMENTACION
Archivo: T399JBH_1.png, Reconocido: RB, Estado: FALLO SEGMENTACION
Archivo: G6620A.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 32LZ43.png, Reconocido: 43, Estado: FALLO SEGMENTACION
Archivo: LE04EVW.png, Reconocido: ELED4EVY, Estado: FALLO SEGMENTACION
Archivo: LYF277.png, Reconocido: LTF277, Estado: FALLO NN
Archivo: SEF311.png, Reconocido: S, Estado: FALLO SEGMENTACION
Archivo: VD861T.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DQ824BE.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: LJDALU04.png, Reconocido: LJDALU04, Estado: OK
Archivo: B24RRX.png, Reconocido: B24RRX, Estado: OK
Archivo: MDLAYK7.png, Reconocido: MDLAYK7, Estado: OK
Archivo: T3FWS.png, Reconocido: I3S, Estado: FALLO SEGMENTACION
Archivo: PZ819CF.png, Reconocido: PZ83EF, Estado: FALLO SEGMENTACION
Archivo: DY323ZC.jpg, Reconocido: IOY3Z3ZCI, Estado: FALLO SEGMENTACION
Archivo: LBXI1024.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AL333SM.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B61RCV.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: VU455CG.png, Reconocido: YU455CG, Estado: FALLO NN
Archivo: SE8517BW.png, Reconocido: SE85T7BE, Estado: FALLO NN
Archivo: SMC1735.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B96SXV.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BTF857H.png, Reconocido: BTF857H, Estado: OK
Archivo: BR07AAC.png, Reconocido: KU7IIC, Estado: FALLO SEGMENTACION
Archivo: 7770ZP14.jpg, Reconocido: 7770ZPQ, Estado: FALLO SEGMENTACION
Archivo: 8185ZS30.png, Reconocido: 8185ZS3O, Estado: FALLO NN
Archivo: PELN212.JPG, Reconocido: PELN212, Estado: OK
Archivo: CR804HW.png, Reconocido: CR80LHU, Estado: FALLO NN
Archivo: B99BNX.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: IHN2783.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 20319TTW.png, Reconocido: I, Estado: FALLO SEGMENTACION
Archivo: EH577PH.jpg, Reconocido: EH577PH, Estado: OK
Archivo: IF18YMH_1.png, Reconocido: BIFI8Y, Estado: FALLO SEGMENTACION
Archivo: 6807GZ2A.png, Reconocido: 6807CZ2A, Estado: FALLO NN
Archivo: 5888881.png, Reconocido: 58Q88881, Estado: FALLO SEGMENTACION
Archivo: ESXI8932.png, Reconocido: X, Estado: FALLO SEGMENTACION
Archivo: CZ743ZY.png, Reconocido: Z7L3Z14, Estado: FALLO NN
Archivo: 4293HF.png, Reconocido: 4233HF, Estado: FALLO NN
Archivo: 2417GSM.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EN009NR.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 1GFZ461.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 5B40001.png, Reconocido: 5B40001, Estado: OK
Archivo: 3233YG30.png, Reconocido: 3233YG30, Estado: OK
Archivo: 2330GY90.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: ZDT923_1.png, Reconocido: ZDT923, Estado: FALLO SEGMENTACION
Archivo: EM727PD.jpg, Reconocido: EM727PD, Estado: OK
Archivo: GL2321.png, Reconocido: Q6L2321, Estado: FALLO SEGMENTACION
Archivo: CJ183LS.png, Reconocido: T3L, Estado: FALLO SEGMENTACION
Archivo: PP52889.png, Reconocido: PP52889, Estado: OK
Archivo: CK7A1DT.png, Reconocido: CL74IDT, Estado: FALLO NN
Archivo: FR192CN.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BC996AA.jpg, Reconocido: BL33BXX, Estado: FALLO NN
Archivo: G666CD.png, Reconocido: 6666CD, Estado: FALLO NN
Archivo: CK1007.png, Reconocido: 7, Estado: FALLO SEGMENTACION
Archivo: EJQ588.png, Reconocido: EJQ588, Estado: OK
Archivo: L7855.png, Reconocido: L7855, Estado: OK
Archivo: 353ASK35.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: LBHT71.png, Reconocido: 1, Estado: FALLO SEGMENTACION
Archivo: YB75711.png, Reconocido: YBZ5711, Estado: FALLO NN
Archivo: SBS60.png, Reconocido: S, Estado: FALLO SEGMENTACION
Archivo: E52CNW.png, Reconocido: BK2C, Estado: FALLO SEGMENTACION
Archivo: BJ814JR.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 6099TV66.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 1KTT82.png, Reconocido: 2, Estado: FALLO SEGMENTACION
Archivo: AE335VY.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 2AN0913.png, Reconocido: 2AN0913, Estado: OK
Archivo: ES344.png, Reconocido: ES344, Estado: OK
Archivo: EVF960.png, Reconocido: EYF960, Estado: FALLO NN
Archivo: IF82EVA.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 7B71000.png, Reconocido: 7B71000, Estado: OK
Archivo: AY963FL.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: G86969.png, Reconocido: G86363, Estado: FALLO NN
Archivo: SH36423.png, Reconocido: USH36423, Estado: FALLO SEGMENTACION
Archivo: AA601DQ.png, Reconocido: IIT, Estado: FALLO SEGMENTACION
Archivo: HGAA7034.JPG, Reconocido: I, Estado: FALLO SEGMENTACION
Archivo: 97WW755.png, Reconocido: 97KX755, Estado: FALLO NN
Archivo: BJ604SB.jpg, Reconocido: B6D45BE, Estado: FALLO NN
Archivo: FN979XC.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MA5320AZ.png, Reconocido: MA5320JZ, Estado: FALLO NN
Archivo: JUX703.png, Reconocido: JUX703, Estado: OK
Archivo: 1BQQ250.png, Reconocido: 1B25O, Estado: FALLO SEGMENTACION
Archivo: ES484LJ.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BF283TX.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 3372HKW.png, Reconocido: 13372HKY, Estado: FALLO SEGMENTACION
Archivo: 6176YM27.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: KRA99913.png, Reconocido: KRA999I3, Estado: FALLO NN
Archivo: CJ711YG.jpg, Reconocido: CYG, Estado: FALLO SEGMENTACION
Archivo: B144MOS.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: TR05YPP_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: D042652.png, Reconocido: D042652, Estado: OK
Archivo: BE259030.png, Reconocido: BE259030, Estado: OK
Archivo: 5483648.png, Reconocido: V5483648, Estado: FALLO SEGMENTACION
Archivo: VH13609.png, Reconocido: VH13609, Estado: OK
Archivo: ZG56409.png, Reconocido: 09, Estado: FALLO SEGMENTACION
Archivo: WOBAV151.JPG, Reconocido: W0BAV151, Estado: FALLO NN
Archivo: B276WOW.png, Reconocido: E77EWOW, Estado: FALLO NN
Archivo: S0A1468.png, Reconocido: S0R1, Estado: FALLO SEGMENTACION
Archivo: BH815JR.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CS903QC.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SJJ201.png, Reconocido: SJJ2O1, Estado: FALLO NN
Archivo: BH109XW.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: PR24246.png, Reconocido: PR24246, Estado: OK
Archivo: RSK806.png, Reconocido: BD6, Estado: FALLO SEGMENTACION
Archivo: KIS6744.png, Reconocido: KIS6744, Estado: OK
Archivo: GB1ECB.png, Reconocido: BB, Estado: FALLO SEGMENTACION
Archivo: SAN4002.png, Reconocido: 52UZ, Estado: FALLO SEGMENTACION
Archivo: CY726SV.jpg, Reconocido: ET728SF1, Estado: FALLO SEGMENTACION
Archivo: XK15588.png, Reconocido: K5588, Estado: FALLO SEGMENTACION
Archivo: MG06438.png, Reconocido: H506, Estado: FALLO SEGMENTACION
Archivo: GE1176_1.png, Reconocido: E51176, Estado: FALLO SEGMENTACION
Archivo: EX707HV.jpg, Reconocido: EX7D7HV, Estado: FALLO NN
Archivo: BL001AA.png, Reconocido: BLQ001AA, Estado: FALLO SEGMENTACION
Archivo: FH414PP.jpg, Reconocido: P4, Estado: FALLO SEGMENTACION
Archivo: L0JJ1011.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DS051CD.png, Reconocido: DS051CD, Estado: OK
Archivo: BIA3IGJ.png, Reconocido: BIA31GJ, Estado: FALLO NN
Archivo: 9A911D.png, Reconocido: 9A911D, Estado: OK
Archivo: EP396QP.jpg, Reconocido: P396, Estado: FALLO SEGMENTACION
Archivo: 8326WWG34.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B69BMA.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CQ159PK.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 75XNH3.png, Reconocido: 75XNH3, Estado: OK
Archivo: B121NCA.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: WD84851.png, Reconocido: D8485, Estado: FALLO SEGMENTACION
Archivo: ANAL334.png, Reconocido: ANAL334, Estado: OK
Archivo: 9551WA64.jpg, Reconocido: 551VA64, Estado: FALLO SEGMENTACION
Archivo: VD454490.png, Reconocido: QVD4544904, Estado: FALLO SEGMENTACION
Archivo: BQ708GP.png, Reconocido: BQ708CP, Estado: FALLO NN
Archivo: FH746CT.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EH003HT.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BW2172.png, Reconocido: BW2172, Estado: OK
Archivo: BE609343.png, Reconocido: UBE609343, Estado: FALLO SEGMENTACION
Archivo: CA6183BS.png, Reconocido: BCA683BS, Estado: FALLO NN
Archivo: FP055HQ.jpg, Reconocido: FP055H0, Estado: FALLO NN
Archivo: TR95XMI_2.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: VT884BP.png, Reconocido: V88ABP, Estado: FALLO SEGMENTACION
Archivo: CE7373AE.png, Reconocido: 33, Estado: FALLO SEGMENTACION
Archivo: ESTG27.png, Reconocido: S, Estado: FALLO SEGMENTACION
Archivo: 08BBJ9.png, Reconocido: O8BBJ9, Estado: FALLO NN
Archivo: FP786YF.jpg, Reconocido: FPVB6XXX, Estado: FALLO SEGMENTACION
Archivo: VS236891_1.png, Reconocido: VS236B91, Estado: FALLO SEGMENTACION
Archivo: LAKE10.png, Reconocido: A1, Estado: FALLO SEGMENTACION
Archivo: 00LH2877.png, Reconocido: DDLH2877, Estado: FALLO NN
Archivo: 9089TW22.jpg, Reconocido: 8089TY22, Estado: FALLO NN
Archivo: CY381NR.png, Reconocido: C58NR, Estado: FALLO SEGMENTACION
Archivo: FR452RD.jpg, Reconocido: FRQ5ZRD, Estado: FALLO NN
Archivo: CJ300YS.jpg, Reconocido: BY, Estado: FALLO SEGMENTACION
Archivo: WOBVR142.JPG, Reconocido: W0BVR142, Estado: FALLO NN
Archivo: BC081WH.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EE972DY.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: EL540EV.jpg, Reconocido: V, Estado: FALLO SEGMENTACION
Archivo: BH66597.png, Reconocido: BHZB59, Estado: FALLO SEGMENTACION
Archivo: TR05YPP.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SGO2508.png, Reconocido: 2, Estado: FALLO SEGMENTACION
Archivo: 996AHG.png, Reconocido: 996AHB, Estado: FALLO NN
Archivo: CE7569AT.png, Reconocido: TCE7569AT, Estado: FALLO SEGMENTACION
Archivo: EV070QS.jpg, Reconocido: F070U51, Estado: FALLO NN
Archivo: 5675858.png, Reconocido: 7B8, Estado: FALLO SEGMENTACION
Archivo: MWWK908.png, Reconocido: MUUK9D8, Estado: FALLO NN
Archivo: IF05TAC.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: NRW45317.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AY673JT.jpg, Reconocido: IJYE73JTF, Estado: FALLO SEGMENTACION
Archivo: 1484ZM30.png, Reconocido: ZM3, Estado: FALLO SEGMENTACION
Archivo: 20CEY44.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AM113DA.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: BN840DD.png, Reconocido: BN6840DD, Estado: FALLO SEGMENTACION
Archivo: BAXA506.png, Reconocido: BRXA506, Estado: FALLO NN
Archivo: 1AAL547.png, Reconocido: 1AAL547, Estado: OK
Archivo: DA424BH.png, Reconocido: DA424BH, Estado: OK
Archivo: FS246WV.jpg, Reconocido: FS24ERY, Estado: FALLO NN
Archivo: G1176.png, Reconocido: 5O1176, Estado: FALLO SEGMENTACION
Archivo: SNG661.png, Reconocido: SNG661, Estado: OK
Archivo: 84R2712A_1.png, Reconocido: 84R2712A, Estado: FALLO SEGMENTACION
Archivo: L121243.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AA6888KI.png, Reconocido: AA6888KI, Estado: OK
Archivo: SB501CT.png, Reconocido: SB5DC, Estado: FALLO SEGMENTACION
Archivo: EZ393CA.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: ZU295AJ.png, Reconocido: ZU295AJ, Estado: OK
Archivo: 1OYD682.png, Reconocido: DD682, Estado: FALLO SEGMENTACION
Archivo: SPO7211.JPG, Reconocido: SP07211, Estado: FALLO NN
Archivo: B58RMB.png, Reconocido: SZR, Estado: FALLO SEGMENTACION
Archivo: 236M125.png, Reconocido: 23EM125, Estado: FALLO NN
Archivo: FR400PK.jpg, Reconocido: ROK, Estado: FALLO SEGMENTACION
Archivo: 9JAG121.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DB48SCF.png, Reconocido: LKKSCF, Estado: FALLO SEGMENTACION
Archivo: B13GWF.png, Reconocido: BY13GWF, Estado: FALLO SEGMENTACION
Archivo: CEH422S.png, Reconocido: CEH422S, Estado: OK
Archivo: BB980NJ.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 0310CRG.png, Reconocido: 031OCRG, Estado: FALLO NN
Archivo: B101JGV.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 3307WWA84.png, Reconocido: 3D7KWRB4E, Estado: FALLO NN
Archivo: EC431DC.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: FS066SR.jpg, Reconocido: FSUEESR, Estado: FALLO NN
Archivo: UUP216.png, Reconocido: UUP216, Estado: OK
Archivo: DB001AX.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SH36423_1.png, Reconocido: SH36423, Estado: FALLO SEGMENTACION
Archivo: RA5366.png, Reconocido: RA53, Estado: FALLO SEGMENTACION
Archivo: FF788NK.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B449AP.png, Reconocido: BY449AP, Estado: FALLO SEGMENTACION
Archivo: FN536TH.jpg, Reconocido: FN536H, Estado: FALLO SEGMENTACION
Archivo: WOBNP301.JPG, Reconocido: W0P3D1, Estado: FALLO SEGMENTACION
Archivo: 381ATK83.png, Reconocido: 8ATK83, Estado: FALLO SEGMENTACION
Archivo: BT091WZ.jpg, Reconocido: BTD31YZ, Estado: FALLO NN
Archivo: DT0505.png, Reconocido: RII, Estado: FALLO SEGMENTACION
Archivo: EC010PW.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: MD484DO.png, Reconocido: MD484D0, Estado: FALLO NN
Archivo: EZ931ZH.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 55SG53.jpg, Reconocido: G5, Estado: FALLO SEGMENTACION
Archivo: TV00007.png, Reconocido: TVV00007, Estado: FALLO SEGMENTACION
Archivo: CH516BB.jpg, Reconocido: CH516BB1, Estado: FALLO SEGMENTACION
Archivo: DJ097DJ.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: AH595PC.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: M2090WM.png, Reconocido: M2090, Estado: FALLO SEGMENTACION
Archivo: FS100VH.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: Y932DGP.png, Reconocido: G, Estado: FALLO SEGMENTACION
Archivo: ESDD406.png, Reconocido: 4D6, Estado: FALLO SEGMENTACION
Archivo: DD454YP.jpg, Reconocido: 4E, Estado: FALLO SEGMENTACION
Archivo: DB18SCF.png, Reconocido: LKBSCF, Estado: FALLO SEGMENTACION
Archivo: RI475KM.png, Reconocido: RI475KN, Estado: FALLO NN
Archivo: B91SYE.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 1484ZM30.jpeg, Reconocido: 1484ZH30, Estado: FALLO NN
Archivo: WANNE685.JPG, Reconocido: WANNE685, Estado: OK
Archivo: SUFF170.JPG, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: VS236891.png, Reconocido: QYS236891J, Estado: FALLO SEGMENTACION
Archivo: QAAN006.png, Reconocido: QQL6N006, Estado: FALLO SEGMENTACION
Archivo: 1131XD29.jpg, Reconocido: 1131ID23, Estado: FALLO NN
